id,url,name,tel,address,city,state,zip,neighborhood,built,units,stories,management,unit_no,unit_beds,unit_baths,unit_price,unit_sqft,unit_avail
2t403f9,https://www.apartments.com/renew-at-the-greens-fitchburg-wi/2t403f9/,ReNew at the Greens,608-909-6070,2301 Traceway Dr,Fitchburg,WI,53713,,1970.0,369,3,fpa multifamily llc,3309-108,1,1.0,1275,750,20250518
2t403f9,https://www.apartments.com/renew-at-the-greens-fitchburg-wi/2t403f9/,ReNew at the Greens,608-909-6070,2301 Traceway Dr,Fitchburg,WI,53713,,1970.0,369,3,fpa multifamily llc,3301-102,1,1.0,1275,750,20250518
2t403f9,https://www.apartments.com/renew-at-the-greens-fitchburg-wi/2t403f9/,ReNew at the Greens,608-909-6070,2301 Traceway Dr,Fitchburg,WI,53713,,1970.0,369,3,fpa multifamily llc,2101-1,2,2.0,1375,915,20250518
2t403f9,https://www.apartments.com/renew-at-the-greens-fitchburg-wi/2t403f9/,ReNew at the Greens,608-909-6070,2301 Traceway Dr,Fitchburg,WI,53713,,1970.0,369,3,fpa multifamily llc,3305-212,2,2.0,1375,915,20250518
dljxttj,https://www.apartments.com/sandburg-studios-madison-wi/dljxttj/,Sandburg Studios,608-818-8658,4757 Hayes Rd,Madison,WI,53704,,2025.0,129,3,patriot properties,102,0,1.0,975,277,20250518
83z3tr1,https://www.apartments.com/the-continental-live-timelessly-madison-wi/83z3tr1/,The Continental - Live Timelessly,608-688-9172,408 E Washington Ave,Madison,WI,53703,,2022.0,148,9,,617,0,1.0,2000,542,20250518
83z3tr1,https://www.apartments.com/the-continental-live-timelessly-madison-wi/83z3tr1/,The Continental - Live Timelessly,608-688-9172,408 E Washington Ave,Madison,WI,53703,,2022.0,148,9,,611,0,1.0,2000,542,20250518
83z3tr1,https://www.apartments.com/the-continental-live-timelessly-madison-wi/83z3tr1/,The Continental - Live Timelessly,608-688-9172,408 E Washington Ave,Madison,WI,53703,,2022.0,148,9,,214,0,1.0,1900,539,20250518
83z3tr1,https://www.apartments.com/the-continental-live-timelessly-madison-wi/83z3tr1/,The Continental - Live Timelessly,608-688-9172,408 E Washington Ave,Madison,WI,53703,,2022.0,148,9,,205,1,1.0,2100,657,20250518
83z3tr1,https://www.apartments.com/the-continental-live-timelessly-madison-wi/83z3tr1/,The Continental - Live Timelessly,608-688-9172,408 E Washington Ave,Madison,WI,53703,,2022.0,148,9,,123,1,1.0,2150,645,20250518
83z3tr1,https://www.apartments.com/the-continental-live-timelessly-madison-wi/83z3tr1/,The Continental - Live Timelessly,608-688-9172,408 E Washington Ave,Madison,WI,53703,,2022.0,148,9,,416,1,1.0,2350,728,20250518
