id,url,name,tel,address,city,state,zip,neighborhood,built,units,stories,management,unit_no,unit_beds,unit_baths,unit_price,unit_sqft,unit_avail
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-506,0,1.0,1249.0,350,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-406,0,1.0,1419.0,350,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-303,1,1.0,1349.0,500,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-408,1,1.0,1599.0,717,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-409,1,1.0,1599.0,717,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-508,1,1.0,1599.0,717,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-509,1,1.0,1599.0,717,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-403,1,1.0,1599.0,500,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-P01,2,1.0,2399.0,840,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-1,2,1.0,2499.0,960,20250815
8y855l1,https://www.apartments.com/park-terrace-west-apartments-location-is-madison-wi/8y855l1/,Park Terrace West Apartments - Location is...,608-999-9775,45 N Randall Ave,Madison,WI,53715,,2003.0,58,6,gebhardt development,45R-502,3,1.0,3219.0,1064,20250815
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,423,1,1.0,1585.0,556,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,222,1,1.0,1630.0,633,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,322,1,1.0,1630.0,633,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,324,1,1.0,1630.0,633,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,205,1,1.0,1630.0,634,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,405,1,1.0,1630.0,634,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,304,1,1.0,1630.0,670,20250517
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,318,1,1.0,1630.0,670,20250602
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,204,1,1.0,1630.0,670,20250802
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,409,1,1.0,1680.0,716,20250602
tfdx53c,https://www.apartments.com/nexus-at-union-corners-madison-wi/tfdx53c/,Nexus at Union Corners,608-688-9012,2521 East Washington Ave,Madison,WI,53704,,2022.0,105,5,gorman company,509,1,1.0,1680.0,716,20250602
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,401-111,1,1.0,1250.0,630,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,409-110,1,1.0,1250.0,650,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,401-113,1,1.0,1350.0,650,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,401-218,1,1.0,1395.0,650,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-217,1,1.0,1495.0,650,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-111,1,1.0,1550.0,640,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,401-115,1,1.0,1595.0,650,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,5025-110,1,1.0,1550.0,830,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,5025-310,1,1.0,1595.0,812,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,5001-201,2,2.0,1695.0,1060,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-310,2,1.0,1550.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-307,2,1.0,1550.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-322,2,1.0,1550.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-307,2,1.0,1550.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,401-306,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-322,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-321,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-224,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-222,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-107,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4859-106,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-308,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-306,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-219,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-206,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,409-113,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,409-111,2,1.0,1595.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,401-206,2,1.0,1625.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,4849-120,2,1.0,1650.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,409-115,2,1.0,1795.0,900,20250517
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,5029-203,3,2.0,2595.0,1705,20250711
hwkghh3,https://www.apartments.com/the-monticello-madison-wi/hwkghh3/,The Monticello,608-400-4558,5015 Sheboygan Ave,Madison,WI,53705,,1995.0,616,3,katz properties,5025-306,3,2.0,2595.0,1705,20250711
t2jzbkb,https://www.apartments.com/peloton-residences-llc-phase-1-madison-wi/t2jzbkb/,"PELOTON RESIDENCES, LLC - Phase 1",608-602-4072,1008 S Park St,Madison,WI,53715,,2020.0,173,6,t wall enterprises mgt llc,419,0,1.0,1799.0,726,20250517
t2jzbkb,https://www.apartments.com/peloton-residences-llc-phase-1-madison-wi/t2jzbkb/,"PELOTON RESIDENCES, LLC - Phase 1",608-602-4072,1008 S Park St,Madison,WI,53715,,2020.0,173,6,t wall enterprises mgt llc,226,0,1.0,1629.0,605,20250601
